Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Silver Raven,U,C,253268,7.91,21704,11.86,7483,10.0%,49.4%,1697,50.8%,2417,50.9%,4114,50.9%,3833,48.2%,2.7pp
Soulknife Spy,U,C,208009,5.68,30376,7.56,47575,53.5%,52.7%,11991,53.2%,19364,54.1%,31355,53.7%,22068,51.8%,1.9pp
Split the Party,U,U,88567,7.05,10630,9.96,5973,14.9%,51.2%,911,49.0%,1830,54.3%,2741,52.5%,3331,50.1%,2.4pp
Sudden Insight,U,U,97222,7.84,11465,11.22,1524,3.4%,47.3%,220,,443,,663,46.9%,870,47.6%,-0.7pp
Tasha's Hideous Laughter,U,R,18111,4.18,2562,5.48,1605,16.4%,46.2%,309,,650,52.3%,959,48.4%,790,48.0%,0.4pp
Trickster's Talisman,U,U,74785,5.47,10556,7.43,13877,36.8%,51.5%,2500,48.8%,4193,54.0%,6693,52.0%,7432,51.0%,1.0pp
True Polymorph,U,R,22820,4.87,3389,6.58,1483,11.3%,45.2%,210,,469,,679,44.0%,822,46.1%,-2.1pp
Wizard Class,U,U,50409,3.84,10365,4.57,23646,68.6%,52.0%,4616,50.8%,7286,53.3%,11902,52.3%,12370,51.6%,0.7pp
Wizard's Spellbook,U,R,19530,4.19,3797,5.03,3643,24.5%,49.8%,564,43.1%,1119,52.7%,1683,49.5%,1974,50.1%,-0.6pp
You Come to a River,U,C,251527,7.52,29885,10.45,27715,27.8%,52.6%,5307,50.4%,9160,55.7%,14467,53.8%,14483,51.7%,2.1pp
You Find the Villains' Lair,U,C,249039,7.64,24464,11.11,12073,14.5%,51.0%,2347,50.4%,3937,53.8%,6284,52.5%,6341,49.6%,2.9pp
You See a Guard Approach,U,C,270899,8.72,28518,12.39,6963,6.8%,52.5%,1173,51.4%,2075,54.8%,3248,53.6%,3854,51.4%,2.2pp
Yuan-Ti Malison,U,R,8813,1.91,4238,1.81,13236,79.1%,55.4%,2488,64.8%,3860,59.7%,6348,61.7%,7216,50.3%,11.4pp
Acererak the Archlich,B,M,3469,1.52,2246,1.47,7018,80.4%,51.4%,1213,47.3%,9138,52.1%,10351,51.6%,3954,52.8%,-1.2pp
Asmodeus the Archfiend,B,R,14436,3.29,3118,3.78,4581,39.1%,50.9%,713,46.4%,1324,48.9%,2037,48.1%,2623,52.6%,-4.6pp
